"","loss","accuracy","val_loss","val_accuracy","initial_adjoint","terminal_adjoint","val_initial_adjoint","val_terminal_adjoint","architecture","dataset","permute","pad_length","orientation","dim","epochs","learning_rate","task","time_horizon","output_dim","baseline","identifier","terminal_epoch_flag","total_epochs","log_lr","treatment","hyperparameters","full.treatment","response"
"766341",1.4472142457962,0.477872908115387,1.4472142457962,0.44511216878891,2.17341947555542,0.439543157815933,0.32208639383316,0.0745585337281227,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"679791e4-f30b-46f4-a443-4332b353b7ee",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.574209249844106
"767941",1.43718791007996,0.482374370098114,1.43718791007996,0.479366987943649,2.12690258026123,0.469229996204376,0.288657426834106,0.0768145769834518,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"5e4bb0a7-d154-4b9c-a047-7eed03c8e0af",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.631203571659572
"768041",1.45800995826721,0.472511202096939,1.45800995826721,0.462439894676208,2.78803181648254,0.439418077468872,0.35030996799469,0.0721461623907089,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"e921ff39-aa6a-4aed-9d86-2fd7482aaa4c",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.603039703774973
"768091",1.45664656162262,0.475972324609756,1.45664656162262,0.461237967014313,2.64403557777405,0.419897347688675,0.350738167762756,0.0699636042118073,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"6c82be52-5c79-415f-b8ec-944f886bccec",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.601039896050064
"770441",1.45230972766876,0.477112680673599,1.45230972766876,0.475861370563507,1.89778959751129,0.449375212192535,0.26192831993103,0.0737857669591904,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"c073561d-61cf-47e9-a34c-46cb6e16ca9d",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.62537080739294
"770691",1.44251608848572,0.481374025344849,1.44251608848572,0.48046875,2.70734739303589,0.413535058498383,0.354590356349945,0.0672997832298279,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"b7fff3fc-cdab-4ee0-92d1-d5952dadc3c4",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.633036720476387
"776641",1.45340895652771,0.47607234120369,1.45340895652771,0.46875,2.6645085811615,0.416049271821976,0.340343981981277,0.0680642426013947,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"e490a720-1dc1-4517-a1dd-d430947c4c7e",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.613538669537689
"778941",1.44093120098114,0.481754153966904,1.44093120098114,0.473657846450806,2.52754330635071,0.448574781417847,0.358892768621445,0.0733995363116264,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"7cea7fe5-b652-415a-a20c-9f289989a5c3",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.62170450975931
"779541",1.44998216629028,0.476552486419678,1.44998216629028,0.468149036169052,2.63676261901855,0.412887990474701,0.377545416355133,0.0684551000595093,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"a0d9ab3b-63bb-4850-aa88-59932b397508",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.612538765675235
"780241",1.45795702934265,0.474451810121536,1.45795702934265,0.470953524112701,2.16697645187378,0.402861684560776,0.313610851764679,0.0663783401250839,"antisymmetric","cifar10","False",0,"None",256,50,0.001,"cifar10-None-False",1024,10,0.1,"22e49fb4-72ef-4dcd-9f78-30dd2063bfcf",1,50,-6.90775527898214,"0.001-256-50-cifar10-None-False","0.001-256-50","antisymmetric-0.001-256-50-cifar10-None-False",0.617204967171319
